household_id,cluster
1,0
2,3
3,6
4,2
5,2
6,6
7,4
8,2
9,3
10,3
11,6
12,2
13,0
14,2
15,4
16,2
17,4
18,1
19,0
20,6
21,0
22,5
23,0
24,2
25,1
26,0
27,6
28,3
29,0
30,0
31,6
32,2
33,2
34,0
35,6
36,0
37,4
38,6
39,2
40,2
41,0
42,0
43,5
44,6
45,5
46,5
47,0
48,0
49,0
50,6
51,0
52,2
53,5
54,0
55,4
56,0
57,4
58,3
59,2
60,6
61,1
62,6
63,1
64,1
65,4
66,2
67,3
68,0
69,2
70,6
71,2
72,6
73,6
74,0
75,2
76,2
77,2
78,1
79,3
80,0
81,2
82,6
83,4
84,3
85,5
86,6
87,2
88,4
89,0
90,0
91,4
92,1
93,6
94,0
95,5
96,6
97,0
98,0
99,5
100,0
101,6
102,6
103,0
104,5
105,6
106,0
107,2
108,4
109,5
110,0
111,2
112,2
113,6
114,0
115,6
116,0
117,3
118,2
119,5
120,0
121,3
122,3
123,2
124,1
125,0
126,1
127,0
128,5
129,6
130,0
131,0
132,0
133,2
134,0
135,1
136,1
137,3
138,0
139,4
140,0
141,6
142,3
143,5
144,4
145,5
146,6
147,6
148,0
149,6
150,6
151,2
152,6
153,2
154,0
155,1
156,4
157,2
158,4
159,4
160,0
161,6
162,0
163,3
164,2
165,4
166,1
167,0
168,6
169,2
170,6
171,6
172,1
173,2
174,2
175,0
176,0
177,2
178,3
179,6
180,2
181,6
182,0
183,6
184,0
185,2
186,2
187,0
188,1
189,2
190,1
191,0
192,1
193,5
194,0
195,3
196,6
197,2
198,1
199,0
200,3
201,2
202,3
203,0
204,2
205,2
206,1
207,5
208,0
209,6
210,0
211,6
212,5
213,0
214,0
215,2
216,0
217,1
218,0
219,6
220,4
221,2
222,4
223,0
224,2
225,5
226,2
227,6
228,1
229,3
230,0
231,6
232,4
233,0
234,0
235,0
236,0
237,0
238,6
239,2
240,0
241,2
242,6
243,6
244,0
245,0
246,3
247,3
248,4
249,6
250,0
251,2
252,6
253,0
254,0
255,2
256,2
257,3
258,2
259,2
260,6
261,2
262,6
263,6
264,2
265,0
266,2
267,2
268,1
269,0
270,6
271,5
272,6
273,1
274,2
275,4
276,2
277,2
278,3
279,5
280,1
281,6
282,0
283,5
284,3
285,2
286,6
287,0
288,0
289,0
290,0
291,3
292,3
293,2
294,5
295,4
296,2
297,6
298,2
299,0
300,0
301,2
302,2
303,4
304,0
305,0
306,6
307,2
308,4
309,1
310,2
311,0
312,2
313,2
314,2
315,4
316,2
317,1
318,0
319,5
320,2
321,0
322,0
323,4
324,4
325,1
326,2
327,4
328,0
329,4
330,2
331,2
332,2
333,5
334,6
335,0
336,5
337,0
338,2
339,5
340,1
341,6
342,3
343,6
344,0
345,2
346,4
347,6
348,4
349,1
350,0
351,0
352,2
353,6
354,6
355,6
356,1
357,0
358,1
359,4
360,2
361,0
362,0
363,0
364,3
365,4
366,6
367,6
368,5
369,0
370,4
371,2
372,5
373,2
374,3
375,3
376,2
377,6
378,2
379,0
380,2
381,2
382,3
383,4
384,6
385,1
386,6
387,2
388,2
389,3
390,6
391,6
392,0
393,6
394,3
395,0
396,2
397,2
398,3
399,2
400,4
401,6
402,2
403,2
404,6
405,2
406,0
407,0
408,0
409,3
410,2
411,0
412,2
413,3
414,6
415,0
416,4
417,0
418,0
419,2
420,6
421,1
422,3
423,2
424,1
425,0
426,5
427,0
428,0
429,2
430,0
431,4
432,2
433,2
434,0
435,2
436,3
437,6
438,4
439,1
440,1
441,3
442,4
443,0
444,6
445,0
446,5
447,2
448,4
449,5
450,3
451,2
452,3
453,1
454,6
455,3
456,6
457,2
458,3
459,3
460,2
461,2
462,2
463,6
464,0
465,6
466,2
467,4
468,6
469,2
470,1
471,3
472,0
473,0
474,0
475,3
476,5
477,0
478,3
479,3
480,2
481,6
482,2
483,4
484,3
485,2
486,1
487,0
488,3
489,4
490,3
491,1
492,6
493,2
494,3
495,0
496,6
497,2
498,2
499,1
500,0
